year,week,age_group,deaths
2018,1,under_65,178
2018,2,under_65,174
2018,3,under_65,187
2018,4,under_65,188
2018,5,under_65,151
2018,6,under_65,191
2018,7,under_65,194
2018,8,under_65,190
2018,9,under_65,213
2018,10,under_65,201
2018,11,under_65,174
2018,12,under_65,160
2018,13,under_65,171
2018,14,under_65,171
2018,15,under_65,170
2018,16,under_65,181
2018,17,under_65,163
2018,18,under_65,151
2018,19,under_65,161
2018,20,under_65,167
2018,21,under_65,171
2018,22,under_65,155
2018,23,under_65,171
2018,24,under_65,148
2018,25,under_65,174
2018,26,under_65,150
2018,27,under_65,155
2018,28,under_65,145
2018,29,under_65,158
2018,30,under_65,170
2018,31,under_65,187
2018,32,under_65,153
2018,33,under_65,161
2018,34,under_65,151
2018,35,under_65,168
2018,36,under_65,177
2018,37,under_65,158
2018,38,under_65,171
2018,39,under_65,166
2018,40,under_65,171
2018,41,under_65,161
2018,42,under_65,148
2018,43,under_65,134
2018,44,under_65,148
2018,45,under_65,168
2018,46,under_65,186
2018,47,under_65,164
2018,48,under_65,181
2018,49,under_65,197
2018,50,under_65,161
2018,51,under_65,177
2018,52,under_65,154
2018,1,65_and_up,1351
2018,2,65_and_up,1348
2018,3,65_and_up,1296
2018,4,65_and_up,1186
2018,5,65_and_up,1227
2018,6,65_and_up,1237
2018,7,65_and_up,1250
2018,8,65_and_up,1272
2018,9,65_and_up,1409
2018,10,65_and_up,1318
2018,11,65_and_up,1298
2018,12,65_and_up,1207
2018,13,65_and_up,1164
2018,14,65_and_up,1160
2018,15,65_and_up,1115
2018,16,65_and_up,1030
2018,17,65_and_up,964
2018,18,65_and_up,1060
2018,19,65_and_up,1019
2018,20,65_and_up,929
2018,21,65_and_up,1042
2018,22,65_and_up,986
2018,23,65_and_up,981
2018,24,65_and_up,960
2018,25,65_and_up,935
2018,26,65_and_up,1016
2018,27,65_and_up,970
2018,28,65_and_up,915
2018,29,65_and_up,1042
2018,30,65_and_up,1026
2018,31,65_and_up,1053
2018,32,65_and_up,1050
2018,33,65_and_up,1003
2018,34,65_and_up,983
2018,35,65_and_up,1021
2018,36,65_and_up,983
2018,37,65_and_up,1049
2018,38,65_and_up,986
2018,39,65_and_up,1019
2018,40,65_and_up,1039
2018,41,65_and_up,1043
2018,42,65_and_up,1047
2018,43,65_and_up,1080
2018,44,65_and_up,1104
2018,45,65_and_up,1080
2018,46,65_and_up,1034
2018,47,65_and_up,1099
2018,48,65_and_up,1122
2018,49,65_and_up,1168
2018,50,65_and_up,1162
2018,51,65_and_up,1119
2018,52,65_and_up,1148
