year,week,age_group,deaths
2015,1,under_65,191
2015,2,under_65,189
2015,3,under_65,197
2015,4,under_65,174
2015,5,under_65,201
2015,6,under_65,176
2015,7,under_65,222
2015,8,under_65,207
2015,9,under_65,186
2015,10,under_65,182
2015,11,under_65,171
2015,12,under_65,185
2015,13,under_65,169
2015,14,under_65,184
2015,15,under_65,161
2015,16,under_65,171
2015,17,under_65,162
2015,18,under_65,158
2015,19,under_65,179
2015,20,under_65,184
2015,21,under_65,165
2015,22,under_65,164
2015,23,under_65,164
2015,24,under_65,174
2015,25,under_65,165
2015,26,under_65,201
2015,27,under_65,178
2015,28,under_65,179
2015,29,under_65,202
2015,30,under_65,156
2015,31,under_65,164
2015,32,under_65,179
2015,33,under_65,164
2015,34,under_65,162
2015,35,under_65,175
2015,36,under_65,161
2015,37,under_65,185
2015,38,under_65,168
2015,39,under_65,145
2015,40,under_65,184
2015,41,under_65,158
2015,42,under_65,169
2015,43,under_65,169
2015,44,under_65,175
2015,45,under_65,166
2015,46,under_65,179
2015,47,under_65,176
2015,48,under_65,156
2015,49,under_65,178
2015,50,under_65,176
2015,51,under_65,158
2015,52,under_65,166
2015,53,under_65,168
2015,1,65_and_up,1205
2015,2,65_and_up,1289
2015,3,65_and_up,1309
2015,4,65_and_up,1294
2015,5,65_and_up,1373
2015,6,65_and_up,1463
2015,7,65_and_up,1566
2015,8,65_and_up,1543
2015,9,65_and_up,1522
2015,10,65_and_up,1355
2015,11,65_and_up,1355
2015,12,65_and_up,1233
2015,13,65_and_up,1109
2015,14,65_and_up,1100
2015,15,65_and_up,1056
2015,16,65_and_up,1102
2015,17,65_and_up,1040
2015,18,65_and_up,1102
2015,19,65_and_up,965
2015,20,65_and_up,953
2015,21,65_and_up,946
2015,22,65_and_up,917
2015,23,65_and_up,991
2015,24,65_and_up,978
2015,25,65_and_up,920
2015,26,65_and_up,979
2015,27,65_and_up,1093
2015,28,65_and_up,1153
2015,29,65_and_up,1073
2015,30,65_and_up,991
2015,31,65_and_up,952
2015,32,65_and_up,1014
2015,33,65_and_up,1011
2015,34,65_and_up,962
2015,35,65_and_up,986
2015,36,65_and_up,976
2015,37,65_and_up,986
2015,38,65_and_up,949
2015,39,65_and_up,1024
2015,40,65_and_up,1027
2015,41,65_and_up,995
2015,42,65_and_up,1035
2015,43,65_and_up,1020
2015,44,65_and_up,1089
2015,45,65_and_up,991
2015,46,65_and_up,1001
2015,47,65_and_up,1061
2015,48,65_and_up,1079
2015,49,65_and_up,1102
2015,50,65_and_up,1024
2015,51,65_and_up,1014
2015,52,65_and_up,1094
2015,53,65_and_up,1130
