year,week,age_group,deaths
2020,1,under_65,139
2020,2,under_65,158
2020,3,under_65,174
2020,4,under_65,171
2020,5,under_65,152
2020,6,under_65,177
2020,7,under_65,155
2020,8,under_65,173
2020,9,under_65,165
2020,10,under_65,157
2020,11,under_65,147
2020,12,under_65,171
2020,1,65_and_up,1141
2020,2,65_and_up,1170
2020,3,65_and_up,1194
2020,4,65_and_up,1200
2020,5,65_and_up,1233
2020,6,65_and_up,1165
2020,7,65_and_up,1177
2020,8,65_and_up,1151
2020,9,65_and_up,1138
2020,10,65_and_up,1149
2020,11,65_and_up,1218
2020,12,65_and_up,1318
