year,week,age_group,deaths
2016,1,under_65,182
2016,2,under_65,148
2016,3,under_65,182
2016,4,under_65,192
2016,5,under_65,189
2016,6,under_65,187
2016,7,under_65,178
2016,8,under_65,194
2016,9,under_65,181
2016,10,under_65,191
2016,11,under_65,168
2016,12,under_65,181
2016,13,under_65,166
2016,14,under_65,142
2016,15,under_65,158
2016,16,under_65,168
2016,17,under_65,151
2016,18,under_65,168
2016,19,under_65,177
2016,20,under_65,164
2016,21,under_65,145
2016,22,under_65,151
2016,23,under_65,164
2016,24,under_65,171
2016,25,under_65,162
2016,26,under_65,168
2016,27,under_65,153
2016,28,under_65,153
2016,29,under_65,165
2016,30,under_65,158
2016,31,under_65,194
2016,32,under_65,187
2016,33,under_65,151
2016,34,under_65,138
2016,35,under_65,168
2016,36,under_65,181
2016,37,under_65,148
2016,38,under_65,171
2016,39,under_65,171
2016,40,under_65,182
2016,41,under_65,171
2016,42,under_65,161
2016,43,under_65,165
2016,44,under_65,174
2016,45,under_65,168
2016,46,under_65,168
2016,47,under_65,130
2016,48,under_65,175
2016,49,under_65,155
2016,50,under_65,156
2016,51,under_65,177
2016,52,under_65,164
2016,1,65_and_up,1141
2016,2,65_and_up,1086
2016,3,65_and_up,1129
2016,4,65_and_up,1146
2016,5,65_and_up,1135
2016,6,65_and_up,1138
2016,7,65_and_up,1120
2016,8,65_and_up,1177
2016,9,65_and_up,1132
2016,10,65_and_up,1148
2016,11,65_and_up,1097
2016,12,65_and_up,1096
2016,13,65_and_up,1086
2016,14,65_and_up,1086
2016,15,65_and_up,1056
2016,16,65_and_up,958
2016,17,65_and_up,1008
2016,18,65_and_up,982
2016,19,65_and_up,959
2016,20,65_and_up,1000
2016,21,65_and_up,1066
2016,22,65_and_up,985
2016,23,65_and_up,925
2016,24,65_and_up,926
2016,25,65_and_up,1054
2016,26,65_and_up,987
2016,27,65_and_up,925
2016,28,65_and_up,982
2016,29,65_and_up,1050
2016,30,65_and_up,992
2016,31,65_and_up,897
2016,32,65_and_up,955
2016,33,65_and_up,1002
2016,34,65_and_up,972
2016,35,65_and_up,953
2016,36,65_and_up,982
2016,37,65_and_up,938
2016,38,65_and_up,992
2016,39,65_and_up,1021
2016,40,65_and_up,1076
2016,41,65_and_up,1080
2016,42,65_and_up,1103
2016,43,65_and_up,1047
2016,44,65_and_up,1116
2016,45,65_and_up,1100
2016,46,65_and_up,1168
2016,47,65_and_up,1038
2016,48,65_and_up,1138
2016,49,65_and_up,1113
2016,50,65_and_up,1109
2016,51,65_and_up,1228
2016,52,65_and_up,1375
